user_id,search_query,search_date,results_returned,used_filters
user_02158,movies based on true stories,2025-04-08,59,0
user_05460,sci-fi,2025-05-30,65,0
user_02584,superhero movies,2025-08-29,65,0
user_04841,sci-fi,2025-07-19,51,0
user_07270,cooking shows,2025-08-20,46,0
user_04019,new releases,2024-05-07,78,1
user_07551,action movies,2024-04-20,57,0
user_04992,horror movies,2024-06-10,68,0
user_01377,korean drama,2024-04-11,97,0
user_02396,movies like stranger things,2024-12-07,85,0
user_06678,animated shows,2024-10-01,95,1
user_00099,drama series,2025-04-26,21,0
user_00775,halloween movies,2024-05-30,98,0
user_09717,short episodes under 30 minutes,2025-12-28,70,0
user_05231,halloween movies,2024-04-09,53,0
user_04470,action movies,2024-08-28,13,0
user_03666,halloween movies,2025-09-25,38,0
user_05952,comedy shows,2024-05-21,90,0
user_07015,new releases,2025-04-06,100,1
user_09069,christmas movies,2025-06-15,61,1
user_08345,stand up comedy,2024-10-13,9,0
user_06935,family movies,2024-10-16,32,1
user_02106,animated shows,2024-09-13,55,0
user_07720,drama series,2024-04-29,92,0
user_09994,documentaries,2024-01-19,83,0
user_01962,horror movies,2024-07-15,36,0
user_00039,thriller series,2024-12-30,82,0
user_06616,sci-fi,2025-05-10,26,1
user_07475,true crime,2024-09-30,80,0
user_07252,biographies,2024-10-07,6,0
user_04202,family movies,2024-06-10,59,0
user_07105,trending now,2024-09-10,5,0
user_01032,trending now,2025-09-29,10,0
user_07527,korean drama,2025-05-29,21,0
user_00459,new releases,2024-12-16,82,1
user_01088,family movies,2025-04-28,78,1
user_07312,biographies,2024-01-25,21,0
user_09887,christmas movies,2024-01-24,76,0
user_06771,biographies,2025-08-20,80,1
user_09510,classic movies,2024-11-19,48,0
user_05752,true crime,2025-02-25,67,0
user_01529,comedy shows,2024-10-22,71,0
user_06556,series with only one season,2025-05-26,77,1
user_04470,classic movies,2024-02-28,92,0
user_01769,korean drama,2024-02-14,51,0
user_09298,drama series,2024-11-12,70,0
user_00593,war movies,2024-05-22,4,0
user_09611,romantic comedies,2025-10-20,4,0
user_00754,sci-fi,2025-08-01,38,0
user_03644,classic movies,2025-01-10,84,1
user_07631,thriller series,2025-12-05,47,0
user_06292,war movies,2025-02-22,70,0
user_01279,romantic comedies,2025-11-21,92,1
user_06171,drama series,2025-10-17,7,0
user_08206,action movies,2024-03-14,71,0
user_09858,drama series,2024-09-15,94,0
user_06567,comedy shows,2024-02-09,63,1
user_04151,classic movies,2024-09-25,31,1
user_08667,series with only one season,2024-12-01,35,0
user_04001,cooking shows,2025-09-04,93,1
user_09843,animated shows,2025-01-11,87,0
user_04379,war movies,2024-04-19,83,1
user_00432,thriller series,2025-10-12,15,0
user_09872,documentaries,2025-09-26,90,0
user_08475,documentaries,2024-09-04,67,1
user_08396,horror movies,2024-06-01,70,0
user_02611,sci-fi,2024-07-01,43,0
user_08984,halloween movies,2024-07-14,55,0
user_01102,animated shows,2025-09-17,94,0
user_03457,shows with strong female leads,2024-11-27,41,0
user_08824,stand up comedy,2024-11-17,32,1
user_04369,korean drama,2025-10-05,92,0
user_03824,true crime,2024-08-09,97,0
user_06857,superhero movies,2025-01-11,68,0
user_04485,travel documentaries,2025-06-13,86,0
user_05058,new releases,2025-06-24,59,0
user_07835,comedy shows,2024-10-06,4,1
user_04897,sci-fi,2025-08-24,41,0
user_09454,travel documentaries,2025-02-27,86,0
user_05310,thriller series,2025-10-27,79,0
user_02889,war movies,2024-11-10,12,0
user_05166,war movies,2025-05-27,64,0
user_06640,halloween movies,2025-03-05,73,0
user_06325,drama series,2024-12-31,86,1
user_09822,sci-fi,2024-04-23,13,0
user_06434,biographies,2025-11-09,56,1
user_01036,trending now,2024-01-25,38,0
user_08270,movies based on true stories,2024-06-27,100,1
user_02481,new releases,2024-10-16,63,0
user_01172,music documentaries,2025-12-13,35,0
user_02947,classic movies,2025-04-25,5,0
user_02642,romantic comedies,2024-01-16,4,0
user_07021,romantic comedies,2024-08-17,51,0
user_01950,trending now,2024-02-08,86,0
user_09605,comedy shows,2024-12-12,43,0
user_01574,netflix originals,2025-03-15,68,0
user_07844,stand up comedy,2024-04-19,65,0
user_04716,best movies 2024,2024-02-01,71,1
user_05757,cooking shows,2024-08-27,41,0
user_02174,short episodes under 30 minutes,2025-10-24,68,0
user_00214,travel documentaries,2025-06-15,6,1
user_09533,new releases,2024-08-22,8,0
user_05235,music documentaries,2024-07-01,18,1
user_07205,new releases,2025-04-07,39,1
user_04666,drama series,2024-07-23,68,0
user_08710,war movies,2025-07-14,57,0
user_07360,christmas movies,2025-09-02,67,0
user_04955,true crime,2024-10-10,43,0
user_02412,netflix originals,2024-11-20,38,0
user_01626,animated shows,2025-02-08,21,0
user_03530,travel documentaries,2024-07-24,64,1
user_08527,comedy shows,2025-06-07,38,0
user_09620,animated shows,2024-03-05,68,0
user_04129,classic movies,2024-01-08,84,1
user_05150,christmas movies,2024-10-14,3,0
user_03987,cooking shows,2024-01-23,64,0
user_02218,cooking shows,2024-04-07,50,1
user_01843,cooking shows,2024-01-18,78,1
user_09793,cooking shows,2025-07-17,46,0
user_00134,sci-fi,2025-03-14,65,0
user_05982,drama series,2024-04-03,41,0
user_06908,stand up comedy,2025-07-12,6,0
user_07608,biographies,2024-09-30,58,0
user_07327,drama series,2025-05-29,51,1
user_06321,documentaries,2025-07-18,32,0
user_09916,war movies,2025-08-07,14,1
user_05675,korean drama,2024-08-06,59,0
user_06983,short episodes under 30 minutes,2025-10-13,16,1
user_08869,series with only one season,2024-01-17,17,0
user_09861,documentaries,2024-09-28,73,0
user_07743,romantic comedies,2024-08-07,22,0
user_01674,drama series,2025-03-19,88,0
user_07810,halloween movies,2024-11-14,25,1
user_09822,war movies,2024-08-15,76,0
user_04068,korean drama,2024-12-28,5,0
user_05872,classic movies,2024-08-05,34,0
user_09204,horror movies,2024-02-06,50,1
user_09780,comedy shows,2025-06-04,83,0
user_06450,stand up comedy,2025-05-06,59,0
user_04973,superhero movies,2024-03-24,75,0
user_06211,family movies,2024-02-16,56,1
user_09484,best movies 2024,2024-02-11,70,1
user_09559,new releases,2024-03-02,34,0
user_02567,christmas movies,2024-12-21,16,0
user_02937,romantic comedies,2024-11-11,13,0
user_01892,stand up comedy,2025-12-25,6,1
user_02407,award winning documentaries,2025-04-14,48,1
user_06661,halloween movies,2025-12-07,13,1
user_00546,war movies,2024-09-20,50,1
user_03667,animated shows,2024-04-21,19,0
user_00234,korean drama,2025-06-05,97,0
user_03809,classic movies,2025-02-23,50,1
user_08034,true crime,2025-05-26,89,1
user_00891,romantic comedies,2024-07-30,34,0
user_05385,superhero movies,2025-01-18,80,0
user_00130,cooking shows,2024-02-12,48,0
user_02800,action movies,2025-12-14,66,1
user_08308,christmas movies,2025-11-04,69,0
user_04510,classic movies,2024-08-17,95,0
user_01994,romantic comedies,2025-05-03,5,0
user_04776,trending now,2025-09-14,8,1
user_07657,true crime,2025-01-17,79,1
user_04903,netflix originals,2024-11-02,49,0
user_07788,travel documentaries,2024-09-19,74,0
user_06430,action movies,2025-08-03,57,0
user_09136,trending now,2024-03-27,91,1
user_08797,classic movies,2024-09-22,0,1
user_03495,netflix originals,2025-10-29,59,0
user_09134,horror movies,2025-06-09,57,0
user_04054,halloween movies,2025-03-14,86,1
user_07707,cooking shows,2024-01-25,66,0
user_07516,romantic comedies,2024-01-18,17,0
user_01481,sci-fi,2024-01-25,71,0
user_03664,music documentaries,2024-02-15,92,1
user_00482,animated shows,2025-08-25,31,1
user_07023,best movies 2024,2024-09-11,48,0
user_00301,documentaries,2024-03-11,68,1
user_09661,drama series,2025-01-30,24,0
user_01610,movies like stranger things,2025-11-03,85,0
user_03239,classic movies,2025-09-07,79,0
user_08766,netflix originals,2025-07-25,33,1
user_08226,thriller series,2025-04-28,56,1
user_05389,shows with strong female leads,2024-05-24,40,0
user_04458,thriller series,2025-04-29,42,0
user_00053,classic movies,2025-12-24,85,0
user_01886,netflix originals,2025-04-05,51,1
user_05782,korean drama,2024-08-29,20,0
user_06376,halloween movies,2025-04-19,14,0
user_01655,new releases,2025-12-24,50,0
user_08878,travel documentaries,2024-12-24,91,1
user_04427,shows with strong female leads,2024-06-07,68,0
user_01834,thriller series,2025-08-17,22,0
user_03222,new releases,2024-07-14,96,0
user_02962,thriller series,2025-11-01,29,1
user_08552,halloween movies,2025-12-02,43,0
user_09240,classic movies,2024-08-09,18,0
user_07623,travel documentaries,2025-10-31,32,0
user_08748,cooking shows,2025-07-07,8,0
user_00957,true crime,2025-01-05,62,0
user_01862,new releases,2024-02-28,60,0
user_00856,family movies,2025-01-01,80,1
user_02271,action movies,2024-11-30,29,0
user_09924,horror movies,2025-11-03,43,0
user_04926,travel documentaries,2024-01-02,99,0
user_04455,music documentaries,2024-12-01,79,0
user_06540,animated shows,2025-09-28,65,0
user_02864,korean drama,2025-06-05,86,0
user_01642,new releases,2025-06-16,27,0
user_07654,classic movies,2024-08-22,96,0
user_07222,halloween movies,2024-10-20,62,1
user_08816,superhero movies,2025-03-20,16,1
user_04848,comedy shows,2024-11-08,41,0
user_08926,animated shows,2024-07-11,40,0
user_04911,classic movies,2025-12-26,7,1
user_08470,cooking shows,2024-09-12,77,0
user_08972,comedy shows,2024-09-29,94,0
user_06892,short episodes under 30 minutes,2024-05-28,83,1
user_03621,true crime,2024-09-16,87,0
user_02218,family movies,2024-10-31,32,0
user_02909,animated shows,2024-10-03,78,1
user_03104,music documentaries,2024-10-20,12,0
user_00135,travel documentaries,2024-05-06,36,0
user_02597,music documentaries,2025-01-12,78,0
user_09648,romantic comedies,2024-07-20,7,0
user_04160,movies like stranger things,2025-08-08,33,0
user_03234,travel documentaries,2024-02-27,76,0
user_05137,halloween movies,2024-10-23,0,0
user_02571,family movies,2025-04-06,47,1
user_07273,travel documentaries,2025-04-01,100,1
user_01698,animated shows,2025-05-23,72,1
user_03908,animated shows,2024-12-22,63,1
user_00486,documentaries,2025-10-10,26,0
user_08132,thriller series,2024-03-23,99,0
user_00036,comedy shows,2024-11-02,10,0
user_01013,comedy shows,2025-06-20,88,0
user_06469,netflix originals,2025-09-19,100,0
user_04169,new releases,2025-11-03,10,0
user_07858,true crime,2024-01-09,96,0
user_06468,horror movies,2025-02-14,69,0
user_00045,trending now,2025-03-28,80,0
user_00265,stand up comedy,2024-07-16,37,0
user_08714,family movies,2024-01-25,6,1
user_02293,war movies,2024-09-03,35,1
user_08793,cooking shows,2024-05-24,28,0
user_09123,stand up comedy,2025-02-06,52,0
user_06435,travel documentaries,2025-05-14,3,0
user_02185,korean drama,2025-09-03,45,1
user_00073,animated shows,2025-03-03,2,0
user_07365,true crime,2024-06-11,14,0
user_06041,war movies,2024-11-23,68,0
user_02668,biographies,2024-09-11,62,0
user_00516,biographies,2025-01-23,97,1
user_05296,romantic comedies,2025-06-30,98,1
user_00767,comedy shows,2025-01-16,96,0
user_01331,movies like stranger things,2025-05-11,70,0
user_09839,comedy shows,2025-01-03,42,0
user_09956,sci-fi,2024-08-29,55,0
user_05818,stand up comedy,2025-08-03,70,0
user_08387,netflix originals,2024-09-23,71,0
user_02933,travel documentaries,2025-11-12,34,1
user_00899,thriller series,2025-07-04,50,0
user_09667,classic movies,2025-11-07,5,1
user_03451,series with only one season,2024-06-27,82,0
user_08018,christmas movies,2025-01-17,14,0
user_02247,family movies,2025-03-26,12,0
user_01296,biographies,2024-03-20,67,0
user_09315,drama series,2025-03-24,21,0
user_02876,movies based on true stories,2025-06-15,87,1
user_05908,romantic comedies,2024-05-23,68,0
user_02857,christmas movies,2024-11-17,37,1
user_01003,movies based on true stories,2025-04-08,0,1
user_09972,true crime,2024-04-30,81,0
user_01507,sci-fi,2024-10-10,85,1
user_07429,family movies,2025-05-15,59,1
user_07951,trending now,2025-04-19,12,0
user_05238,biographies,2024-12-13,26,0
user_06152,family movies,2025-06-24,78,0
user_07306,trending now,2024-08-22,98,1
user_01376,horror movies,2024-07-04,78,0
user_08386,comedy shows,2025-07-08,39,0
user_07935,action movies,2024-01-31,10,0
user_04898,action movies,2025-05-20,61,0
user_09284,action movies,2025-04-13,55,0
user_08832,classic movies,2025-07-08,55,0
user_07889,true crime,2024-06-28,96,0
user_00397,christmas movies,2025-09-19,80,0
user_03339,halloween movies,2024-11-27,93,0
user_00448,korean drama,2024-12-10,21,1
user_05704,halloween movies,2025-09-16,67,1
user_07885,superhero movies,2024-03-26,2,0
user_06229,classic movies,2024-10-09,68,0
user_03233,horror movies,2025-09-19,90,0
user_03886,family movies,2024-10-31,71,0
user_05982,award winning documentaries,2025-09-12,92,0
user_08856,movies based on true stories,2024-12-29,54,0
user_04128,new releases,2024-03-28,57,0
user_02217,travel documentaries,2024-08-18,41,0
user_06425,documentaries,2024-08-14,18,0
user_01409,animated shows,2024-03-09,46,0
user_00528,animated shows,2024-03-22,55,0
user_07684,new releases,2024-09-29,17,0
user_05747,superhero movies,2024-10-29,40,1
user_00026,netflix originals,2024-12-08,7,1
user_07185,christmas movies,2025-12-12,18,0
user_00717,romantic comedies,2024-07-08,2,1
user_09097,stand up comedy,2025-06-08,49,0
user_02904,war movies,2024-12-29,78,0
user_08288,award winning documentaries,2024-10-07,35,0
user_05886,stand up comedy,2024-12-08,29,0
user_09474,comedy shows,2024-08-21,15,0
user_05758,animated shows,2025-09-13,100,1
user_00687,romantic comedies,2025-09-20,88,0
user_04101,thriller series,2024-08-25,53,0
user_03653,romantic comedies,2025-04-27,87,0
user_07926,trending now,2024-07-03,2,0
user_07999,superhero movies,2025-06-09,12,1
user_06315,christmas movies,2025-05-05,12,0
user_00584,trending now,2025-06-21,49,1
user_02412,movies like stranger things,2025-07-11,19,0
user_05016,cooking shows,2024-01-20,38,0
user_09983,superhero movies,2025-08-31,68,0
user_07182,true crime,2025-04-29,38,1
user_05765,music documentaries,2025-03-04,14,1
user_08018,travel documentaries,2025-12-15,35,0
user_05677,christmas movies,2024-09-25,82,0
user_06069,series with only one season,2025-11-05,61,1
user_03936,romantic comedies,2024-06-13,85,0
user_06021,romantic comedies,2025-05-11,88,1
user_08681,biographies,2025-06-03,72,0
user_02281,superhero movies,2024-09-15,97,0
user_01386,drama series,2025-06-10,48,0
user_02974,movies based on true stories,2025-04-20,72,0
user_02969,classic movies,2024-02-16,11,0
user_03311,korean drama,2025-07-16,28,0
user_06017,action movies,2024-11-22,19,0
user_02979,war movies,2025-02-09,30,0
user_06714,thriller series,2024-11-30,91,0
user_02799,true crime,2024-09-26,10,1
user_07057,trending now,2024-05-05,42,0
user_09942,best movies 2024,2024-11-05,24,0
user_09320,thriller series,2025-08-12,96,0
user_06487,new releases,2025-11-13,83,1
user_03425,christmas movies,2025-10-05,61,1
user_05487,shows with strong female leads,2024-07-12,26,0
user_05805,horror movies,2025-09-02,95,1
user_08071,war movies,2025-06-21,43,1
user_04186,animated shows,2024-12-30,92,0
user_03926,christmas movies,2025-03-11,24,0
user_09627,music documentaries,2025-04-01,97,1
user_04622,romantic comedies,2025-11-02,11,1
user_08676,comedy shows,2025-08-19,25,0
user_04644,action movies,2025-03-31,47,0
user_07087,classic movies,2024-06-12,5,0
user_04355,new releases,2025-10-13,81,0
user_08944,true crime,2024-02-06,6,0
user_00433,classic movies,2024-10-22,79,1
user_04648,biographies,2025-12-17,22,0
user_01172,action movies,2025-12-26,91,0
user_09571,new releases,2024-02-12,69,1
user_02335,halloween movies,2024-08-30,81,1
user_04366,action movies,2025-04-12,55,0
user_05480,war movies,2025-05-20,19,0
user_06328,animated shows,2024-07-27,56,0
user_05754,superhero movies,2025-05-17,70,0
user_08243,drama series,2025-03-21,21,0
user_07824,stand up comedy,2024-12-30,51,0
user_08138,short episodes under 30 minutes,2024-04-01,57,0
user_03104,classic movies,2025-07-10,98,0
user_08744,halloween movies,2024-09-05,61,0
user_01187,stand up comedy,2025-07-20,86,0
user_06979,horror movies,2024-02-10,48,0
user_03786,documentaries,2024-08-30,39,1
user_08741,documentaries,2024-01-17,46,1
user_07364,romantic comedies,2025-07-17,24,0
user_09775,true crime,2025-04-20,12,0
user_03318,animated shows,2024-07-04,45,0
user_08094,stand up comedy,2025-07-19,6,0
user_00851,christmas movies,2025-05-30,97,1
user_04084,horror movies,2024-03-17,64,0
user_08515,action movies,2025-05-04,10,0
user_06110,comedy shows,2025-04-08,6,1
user_08108,documentaries,2025-08-18,78,1
user_01020,travel documentaries,2025-08-20,67,0
user_06001,thriller series,2025-03-30,64,0
user_01985,shows with strong female leads,2025-02-26,45,0
user_03501,documentaries,2025-12-11,50,1
user_00407,movies based on true stories,2024-02-17,88,0
user_01918,classic movies,2025-05-09,5,0
user_09608,classic movies,2025-09-25,86,0
user_00652,sci-fi,2025-04-08,40,1
user_09225,horror movies,2024-10-17,55,0
user_01972,new releases,2024-03-27,20,0
user_08051,drama series,2025-06-07,95,0
user_06200,sci-fi,2025-07-13,89,0
user_08659,new releases,2024-03-18,48,0
user_06872,sci-fi,2024-02-23,7,1
user_05713,drama series,2024-08-05,13,0
user_03576,movies based on true stories,2025-08-27,40,1
user_09690,animated shows,2024-06-12,41,0
user_05159,netflix originals,2024-07-24,76,0
user_04125,war movies,2025-03-21,80,0
user_08047,shows with strong female leads,2024-08-29,46,0
user_09334,animated shows,2024-04-05,58,0
user_06663,classic movies,2025-03-24,57,0
user_06466,trending now,2025-02-14,63,0
user_06545,shows with strong female leads,2025-10-02,59,0
user_03570,korean drama,2024-07-19,64,1
user_07185,classic movies,2024-04-05,55,0
user_00370,thriller series,2024-12-07,86,0
user_04482,animated shows,2024-04-17,78,0
user_09149,shows with strong female leads,2024-10-23,48,0
user_07826,stand up comedy,2025-09-23,57,0
user_06570,animated shows,2025-06-20,70,0
user_08656,series with only one season,2025-11-03,56,1
user_09972,biographies,2025-06-13,28,0
user_02721,stand up comedy,2025-04-23,58,0
user_05854,animated shows,2024-05-06,60,0
user_06019,sci-fi,2024-10-06,59,0
user_07566,new releases,2024-04-06,24,0
user_02804,horror movies,2025-10-09,84,1
user_04416,christmas movies,2025-03-25,40,0
user_08083,biographies,2025-07-19,76,0
user_09576,horror movies,2024-12-20,64,0
user_03804,comedy shows,2025-03-05,4,0
user_07907,sci-fi,2024-06-26,90,1
user_05080,christmas movies,2024-12-10,39,0
user_03406,award winning documentaries,2024-11-21,65,0
user_03031,netflix originals,2025-01-25,40,1
user_09755,cooking shows,2024-05-06,24,0
user_09754,thriller series,2025-08-06,22,1
user_09206,superhero movies,2025-06-28,13,1
user_07255,romantic comedies,2024-08-15,20,0
user_02066,trending now,2025-06-02,76,0
user_03551,stand up comedy,2025-01-04,42,1
user_02818,romantic comedies,2025-09-12,7,0
user_08957,trending now,2025-12-13,84,0
user_08627,documentaries,2025-07-23,65,0
user_00932,trending now,2025-09-29,11,0
user_06336,christmas movies,2025-01-20,82,0
user_07753,best movies 2024,2024-02-21,34,0
user_09876,superhero movies,2024-03-18,37,0
user_09966,drama series,2024-10-25,88,0
user_00786,halloween movies,2024-07-03,95,0
user_00254,drama series,2025-09-20,50,0
user_09803,new releases,2025-05-31,29,0
user_07375,christmas movies,2024-06-24,30,0
user_07036,biographies,2025-02-04,71,0
user_04304,romantic comedies,2025-08-15,66,1
user_00460,classic movies,2024-04-29,51,0
user_09078,superhero movies,2025-02-18,36,0
user_03080,netflix originals,2025-12-08,33,0
user_00389,best movies 2024,2024-05-30,24,0
user_06884,documentaries,2025-12-13,27,0
user_02466,travel documentaries,2024-06-10,58,0
user_07296,family movies,2024-01-25,45,0
user_01688,biographies,2024-07-05,84,1
user_07774,sci-fi,2025-08-12,23,1
user_01607,korean drama,2025-05-12,73,1
user_05793,cooking shows,2024-10-25,52,0
user_06255,war movies,2024-12-11,29,0
user_04414,christmas movies,2024-06-09,90,1
user_03743,netflix originals,2024-11-29,45,0
user_03869,korean drama,2025-07-31,73,0
user_05847,trending now,2025-11-16,84,0
user_01683,travel documentaries,2025-03-19,86,0
user_06056,war movies,2025-10-28,62,0
user_06689,romantic comedies,2024-08-30,11,0
user_04201,animated shows,2025-07-13,10,0
user_07867,netflix originals,2024-04-11,1,1
user_08587,travel documentaries,2024-08-08,78,0
user_02696,true crime,2025-09-04,74,1
user_08233,cooking shows,2025-08-16,39,0
user_04081,family movies,2024-11-28,99,1
user_09175,sci-fi,2025-04-17,8,1
user_01370,christmas movies,2025-09-18,8,0
user_05757,trending now,2025-01-09,33,1
user_02118,superhero movies,2024-08-22,44,0
user_08704,music documentaries,2025-03-18,80,0
user_01455,drama series,2024-10-26,6,0
user_03596,christmas movies,2025-07-11,87,1
user_09460,trending now,2025-11-24,8,0
user_06487,short episodes under 30 minutes,2024-04-03,84,0
user_08131,family movies,2025-04-21,29,0
user_03728,true crime,2024-01-17,8,0
user_01873,stand up comedy,2025-08-07,0,1
user_07863,classic movies,2025-06-26,27,0
user_02786,travel documentaries,2024-07-14,9,0
user_07861,korean drama,2024-03-24,58,0
user_00454,horror movies,2025-07-14,56,1
user_08959,travel documentaries,2025-12-30,50,0
user_06598,short episodes under 30 minutes,2024-01-16,92,0
user_01021,horror movies,2024-04-09,22,1
user_04023,romantic comedies,2024-03-04,1,1
user_01741,cooking shows,2025-03-29,6,0
user_04396,music documentaries,2025-06-13,83,0
user_09335,superhero movies,2025-08-19,12,0
user_06572,superhero movies,2025-10-29,84,0
user_07871,travel documentaries,2024-06-12,49,0
user_00681,romantic comedies,2025-04-26,52,0
user_06562,true crime,2025-07-21,89,0
user_09566,action movies,2025-01-15,42,1
user_06714,comedy shows,2024-06-20,53,1
user_03543,biographies,2025-04-30,10,0
user_05253,classic movies,2024-10-01,32,0
user_03280,horror movies,2024-09-25,70,0
user_05018,christmas movies,2024-11-12,87,0
user_09128,war movies,2024-06-22,49,0
user_04913,animated shows,2025-09-14,62,0
user_01863,halloween movies,2025-04-14,20,0
user_08601,superhero movies,2025-06-30,64,0
user_01107,biographies,2024-11-09,19,0
user_07111,animated shows,2024-09-05,22,1
user_02983,travel documentaries,2024-05-13,23,0
user_06091,documentaries,2024-09-30,76,0
user_05676,comedy shows,2025-02-05,33,0
user_02638,korean drama,2025-01-16,53,0
user_09074,movies like stranger things,2025-05-01,67,0
user_09765,drama series,2024-06-05,74,0
user_09019,netflix originals,2025-09-17,6,0
user_08332,new releases,2025-06-03,61,0
user_03546,stand up comedy,2024-05-30,11,1
user_08480,drama series,2025-01-21,88,0
user_06736,biographies,2024-08-04,4,0
user_02448,netflix originals,2025-02-24,61,1
user_05188,comedy shows,2025-05-12,23,0
user_04520,cooking shows,2025-03-27,91,0
user_00410,biographies,2025-02-26,41,0
user_08102,music documentaries,2024-09-10,1,0
user_01202,movies like stranger things,2025-10-25,99,1
user_07343,stand up comedy,2024-05-10,73,1
user_03586,movies based on true stories,2024-09-29,54,0
user_03567,sci-fi,2025-11-21,75,0
user_07323,new releases,2025-03-31,67,1
user_01514,new releases,2025-04-04,62,0
user_05551,documentaries,2025-06-01,89,0
user_00771,horror movies,2025-12-09,95,1
user_03610,series with only one season,2024-09-17,90,1
user_07900,cooking shows,2024-09-19,21,1
user_09595,award winning documentaries,2024-06-28,21,0
user_01918,sci-fi,2024-07-15,59,0
user_07429,comedy shows,2024-09-15,14,0
user_05022,classic movies,2024-10-03,5,0
user_07430,travel documentaries,2025-10-11,95,1
user_09924,documentaries,2025-10-02,87,0
user_09951,netflix originals,2025-09-24,2,1
user_03039,best movies 2024,2025-10-24,50,0
user_00062,sci-fi,2024-09-02,60,1
user_08635,stand up comedy,2025-02-21,37,0
user_03677,thriller series,2025-04-20,37,0
user_04470,romantic comedies,2025-09-28,91,0
user_04781,superhero movies,2025-03-08,88,0
user_01512,drama series,2025-12-04,31,0
user_04766,movies based on true stories,2025-01-30,42,0
user_02549,horror movies,2024-05-21,18,0
user_06606,movies like stranger things,2025-10-03,15,0
user_02450,new releases,2025-05-08,66,0
user_00778,stand up comedy,2025-09-13,20,0
user_05278,sci-fi,2025-05-07,76,0
user_03196,cooking shows,2024-04-08,10,0
user_08102,action movies,2025-06-24,11,1
user_07014,drama series,2024-03-06,83,0
user_08242,new releases,2025-02-02,36,0
user_03983,classic movies,2024-04-02,72,0
user_01557,new releases,2024-04-01,15,1
user_04635,documentaries,2025-04-03,83,0
user_09869,korean drama,2024-03-23,14,0
user_04372,romantic comedies,2024-10-08,67,0
user_02122,christmas movies,2025-06-04,38,1
user_08976,cooking shows,2024-07-05,46,0
user_07731,horror movies,2025-04-29,37,0
user_08441,short episodes under 30 minutes,2024-03-12,15,1
user_04075,short episodes under 30 minutes,2024-10-08,84,1
user_05109,classic movies,2024-02-14,52,0
user_08379,sci-fi,2024-11-24,88,0
user_08499,documentaries,2024-09-05,76,1
user_00148,comedy shows,2025-09-15,82,1
user_05242,trending now,2025-03-05,85,1
user_01668,christmas movies,2024-05-24,13,0
