user_id,movie_id,recommendation_date,recommendation_type,recommendation_score,position_in_list
user_06844,movie_0936,2024-10-13,personalized,0.641,7
user_02105,movie_0052,2025-07-13,genre_based,0.909,7
user_00044,movie_0659,2024-12-13,personalized,0.304,11
user_09207,movie_0802,2025-12-11,new_releases,0.525,10
user_09609,movie_0467,2025-09-17,trending,0.158,8
user_00139,movie_0216,2025-09-07,similar_users,,20
user_09626,movie_0227,2024-05-16,new_releases,0.557,18
user_01360,movie_0678,2024-08-06,similar_users,0.783,12
user_06730,movie_0216,2024-04-27,similar_users,0.244,16
user_05919,movie_0269,2025-04-08,similar_users,,13
user_03393,movie_0709,2025-01-17,personalized,0.19,20
user_02053,movie_0808,2025-03-08,trending,0.97,2
user_09880,movie_0041,2025-12-20,new_releases,0.522,12
user_02822,movie_0046,2024-03-16,genre_based,0.816,17
user_08736,movie_0871,2024-07-18,new_releases,0.135,9
user_08026,movie_0743,2024-10-08,trending,0.44,17
user_07367,movie_0456,2024-11-26,similar_users,0.455,20
user_00596,movie_0336,2025-09-14,new_releases,0.685,10
user_04955,movie_0141,2024-05-05,personalized,0.546,2
user_07365,movie_0983,2024-09-15,genre_based,0.44,14
user_05129,movie_0889,2025-01-24,genre_based,0.383,2
user_06818,movie_0051,2024-01-13,trending,0.276,5
user_00197,movie_0073,2024-07-17,personalized,0.564,9
user_04867,movie_0216,2025-08-13,trending,0.237,17
user_02332,movie_0751,2024-03-14,trending,0.903,20
user_01772,movie_0732,2025-02-07,trending,0.764,5
user_04851,movie_0168,2024-01-02,personalized,0.117,2
user_01817,movie_0029,2025-06-29,genre_based,0.136,4
user_07713,movie_0831,2024-10-12,new_releases,0.743,4
user_03963,movie_0548,2025-04-09,genre_based,0.533,10
user_07520,movie_0471,2024-11-10,trending,0.756,15
user_07069,movie_0638,2024-02-10,personalized,0.845,17
user_01627,movie_0230,2025-03-01,new_releases,0.881,8
user_09926,movie_0373,2024-12-23,genre_based,0.206,14
user_05402,movie_0973,2025-08-25,new_releases,0.264,2
user_01877,movie_0607,2024-02-19,trending,0.64,14
user_02637,movie_0135,2025-09-06,personalized,0.97,19
user_00785,movie_0417,2024-01-17,trending,0.439,8
user_03344,movie_0060,2025-06-11,trending,0.736,5
user_01865,movie_0728,2025-12-23,genre_based,0.906,8
user_01508,movie_0775,2025-04-10,trending,0.626,10
user_02270,movie_0884,2024-01-01,personalized,0.82,1
user_05064,movie_0837,2025-11-29,genre_based,0.791,7
user_07654,movie_0504,2025-02-14,new_releases,0.945,5
user_05486,movie_0195,2024-04-04,personalized,0.139,6
user_06496,movie_0953,2024-12-26,similar_users,0.574,19
user_09981,movie_0784,2025-07-14,trending,0.987,5
user_02106,movie_0557,2024-06-03,genre_based,0.337,18
user_09014,movie_0579,2025-02-21,new_releases,0.163,8
user_01986,movie_0232,2024-12-22,genre_based,0.107,11
user_06405,movie_0054,2024-02-14,personalized,0.859,2
user_04939,movie_0496,2024-10-26,personalized,0.719,16
user_05746,movie_0983,2025-10-24,trending,,18
user_00898,movie_0271,2024-11-02,genre_based,0.16,8
user_02759,movie_0364,2024-02-25,new_releases,0.233,20
user_08238,movie_0404,2025-04-18,personalized,0.505,12
user_08891,movie_0389,2025-08-19,personalized,0.921,20
user_05755,movie_0426,2024-08-17,new_releases,0.685,5
user_00993,movie_0576,2025-10-24,new_releases,0.487,11
user_05072,movie_0354,2024-02-21,trending,0.609,6
user_00121,movie_0682,2024-03-05,personalized,0.278,10
user_05887,movie_0012,2024-08-27,personalized,0.226,11
user_00031,movie_0178,2024-07-10,trending,0.573,10
user_00317,movie_0356,2025-06-15,trending,0.793,1
user_05836,movie_0544,2024-07-20,genre_based,,16
user_09289,movie_0618,2024-01-22,new_releases,0.446,14
user_09999,movie_0948,2025-05-17,genre_based,,9
user_06213,movie_0486,2024-06-19,trending,0.147,13
user_09879,movie_0372,2025-03-12,similar_users,0.437,19
user_06995,movie_0272,2024-07-12,genre_based,0.267,9
user_07209,movie_0952,2024-07-22,genre_based,0.767,3
user_00746,movie_0149,2025-06-02,new_releases,0.493,20
user_02601,movie_0345,2025-11-29,trending,0.664,14
user_01113,movie_0183,2025-04-15,trending,0.476,2
user_08395,movie_0501,2024-01-20,trending,0.423,17
user_08829,movie_0208,2024-06-04,genre_based,0.152,2
user_08442,movie_0914,2024-03-23,trending,0.584,2
user_01045,movie_0043,2025-04-03,personalized,,12
user_03141,movie_0297,2024-12-03,genre_based,0.683,14
user_07974,movie_0700,2024-04-16,personalized,0.801,5
user_08813,movie_0195,2025-05-29,genre_based,0.219,4
user_00940,movie_0403,2024-11-25,personalized,0.729,10
user_03235,movie_0501,2025-11-12,similar_users,0.711,15
user_07484,movie_0328,2025-09-02,genre_based,0.286,17
user_03435,movie_0367,2025-02-21,personalized,0.748,4
user_07310,movie_0067,2025-08-10,genre_based,0.305,18
user_08674,movie_0642,2025-01-02,new_releases,0.563,15
user_01337,movie_0558,2025-05-10,new_releases,0.263,17
user_08331,movie_0070,2024-04-28,similar_users,0.837,12
user_03281,movie_0729,2025-05-22,similar_users,0.629,8
user_01677,movie_0779,2024-09-07,genre_based,0.974,14
user_01348,movie_0956,2024-04-21,similar_users,0.845,20
user_02941,movie_0868,2024-10-23,similar_users,,1
user_07615,movie_0124,2024-02-29,genre_based,0.459,17
user_07406,movie_0665,2024-09-10,similar_users,0.595,5
user_01616,movie_0294,2024-05-21,new_releases,0.539,3
user_08899,movie_0337,2024-07-17,genre_based,0.22,9
user_05162,movie_0259,2024-09-04,similar_users,0.759,19
user_06987,movie_0807,2024-03-07,similar_users,0.369,6
user_00202,movie_0659,2024-06-20,trending,0.774,9
user_04680,movie_0579,2024-11-18,trending,0.982,5
user_00075,movie_0539,2024-06-10,trending,0.865,13
user_00377,movie_0878,2024-02-26,similar_users,0.18,17
user_00238,movie_0893,2025-07-20,similar_users,0.624,6
user_09724,movie_0682,2024-04-17,personalized,0.208,7
user_04561,movie_0355,2024-02-19,new_releases,,7
user_04090,movie_0095,2025-09-21,new_releases,0.278,11
user_01084,movie_0296,2025-01-02,trending,,20
user_03020,movie_0621,2025-11-30,personalized,0.553,20
user_03398,movie_0190,2024-01-13,new_releases,0.901,4
user_02654,movie_0515,2024-10-02,trending,0.97,11
user_08569,movie_0356,2025-01-10,new_releases,0.696,8
user_05900,movie_0332,2024-06-19,personalized,0.441,12
user_03187,movie_0093,2025-10-12,personalized,0.586,15
user_00180,movie_0024,2024-02-20,genre_based,0.177,8
user_01200,movie_0315,2024-06-21,new_releases,0.371,12
user_02620,movie_0871,2024-11-03,personalized,0.588,1
user_06108,movie_0734,2025-07-16,trending,0.292,2
user_06084,movie_0001,2025-12-12,personalized,0.584,15
user_02387,movie_0034,2025-11-22,similar_users,,17
user_03089,movie_0973,2024-03-03,new_releases,0.652,3
user_01711,movie_0885,2024-09-24,similar_users,0.714,16
user_01190,movie_0346,2025-08-28,new_releases,0.622,1
user_07295,movie_0318,2024-03-03,genre_based,,5
user_00652,movie_0308,2024-11-13,new_releases,0.575,13
user_07473,movie_0986,2024-12-09,trending,0.656,5
user_05329,movie_0905,2024-04-12,trending,0.828,8
user_07713,movie_0113,2024-03-11,trending,0.489,7
user_05116,movie_0361,2025-03-03,new_releases,0.952,4
user_09375,movie_0120,2025-07-25,trending,0.788,5
user_07707,movie_0590,2024-09-21,genre_based,,16
user_03436,movie_0115,2024-10-13,trending,0.329,12
user_07844,movie_0560,2025-08-22,personalized,0.85,18
user_01511,movie_0686,2025-01-02,trending,0.577,15
user_05051,movie_0836,2025-09-30,genre_based,0.679,19
user_03500,movie_0879,2025-01-31,personalized,0.382,5
user_05251,movie_0798,2024-11-20,personalized,0.893,1
user_00360,movie_0923,2024-11-21,genre_based,0.487,17
user_02321,movie_0978,2024-06-27,trending,0.927,12
user_06309,movie_0262,2024-04-13,genre_based,0.794,7
user_03842,movie_0354,2025-10-24,genre_based,0.512,9
user_02359,movie_0590,2025-08-19,similar_users,0.818,18
user_04505,movie_0691,2025-02-12,trending,0.775,3
user_07969,movie_1000,2024-05-31,similar_users,0.812,1
user_01388,movie_0125,2025-02-28,genre_based,0.106,4
user_00540,movie_0814,2024-12-24,personalized,0.365,14
user_06247,movie_0435,2025-11-24,trending,0.262,17
user_05321,movie_0716,2025-02-19,trending,,11
user_01452,movie_0021,2025-02-07,personalized,0.734,10
user_02278,movie_0795,2025-01-03,new_releases,0.291,8
user_04365,movie_0934,2024-08-28,genre_based,0.615,11
user_03950,movie_0760,2024-11-12,trending,0.975,17
user_07256,movie_0929,2024-01-15,personalized,0.414,1
user_08367,movie_0903,2025-05-11,new_releases,0.747,9
user_01519,movie_0110,2025-08-26,new_releases,0.654,16
user_04520,movie_0557,2025-04-16,genre_based,0.194,15
user_04712,movie_0604,2025-01-11,similar_users,0.43,3
user_01977,movie_0790,2024-07-15,genre_based,0.102,19
user_00530,movie_0768,2024-02-12,new_releases,0.299,2
user_01775,movie_0776,2025-03-14,new_releases,,19
user_00742,movie_0775,2024-12-04,personalized,0.897,10
user_05120,movie_0032,2024-09-20,genre_based,0.682,8
user_02440,movie_0157,2024-05-11,genre_based,0.61,6
user_00478,movie_0939,2024-10-06,trending,0.38,5
user_08270,movie_0105,2025-03-03,genre_based,,7
user_07863,movie_0552,2024-02-05,similar_users,0.585,9
user_00168,movie_0938,2025-01-13,similar_users,0.236,9
user_01543,movie_0407,2025-01-14,trending,0.649,14
user_02014,movie_0646,2025-12-14,personalized,0.594,8
user_02352,movie_0104,2024-11-29,new_releases,0.711,4
user_04452,movie_0158,2024-03-06,similar_users,0.845,13
user_08486,movie_0897,2025-10-03,personalized,0.25,5
user_07257,movie_0110,2025-08-01,personalized,0.256,3
user_07450,movie_0014,2024-01-13,personalized,0.4,14
user_03286,movie_0553,2024-11-22,trending,0.254,17
user_03357,movie_0182,2024-10-31,trending,,11
user_01990,movie_0962,2024-01-02,trending,,11
user_01637,movie_0726,2025-07-18,similar_users,0.674,15
user_05748,movie_0692,2024-05-18,new_releases,0.598,3
user_09927,movie_0906,2024-03-20,personalized,0.273,12
user_04412,movie_0706,2025-09-29,personalized,0.374,19
user_06240,movie_0017,2025-01-19,trending,0.366,9
user_09376,movie_0874,2024-03-09,new_releases,0.775,5
user_07070,movie_0780,2024-11-25,personalized,0.596,19
user_02254,movie_0111,2025-01-28,similar_users,0.483,15
user_07216,movie_0257,2024-04-18,genre_based,0.471,12
user_07731,movie_0913,2025-06-27,genre_based,0.12,11
user_03860,movie_0213,2024-07-26,trending,0.239,10
user_00827,movie_0310,2025-02-16,personalized,0.967,4
user_08063,movie_0942,2025-07-23,genre_based,0.508,17
user_01392,movie_0729,2025-03-26,trending,0.535,12
user_00269,movie_0935,2024-10-09,new_releases,,2
user_01724,movie_0826,2025-01-07,trending,0.501,4
user_08044,movie_0103,2025-08-23,personalized,0.348,16
user_02581,movie_0859,2025-01-06,personalized,0.511,20
user_00048,movie_0465,2025-11-29,similar_users,0.995,13
user_06643,movie_0098,2024-05-07,personalized,0.964,2
user_07081,movie_0423,2025-03-12,new_releases,,11
user_01675,movie_0312,2025-03-04,genre_based,0.86,15
user_04958,movie_0640,2024-01-20,trending,0.583,9
user_02947,movie_0589,2024-12-05,new_releases,0.426,12
user_09372,movie_0832,2024-05-23,personalized,0.963,2
user_08564,movie_0483,2025-10-12,personalized,0.222,3
user_06126,movie_0920,2024-10-19,genre_based,0.44,2
user_00244,movie_0090,2025-04-26,trending,0.726,2
user_03271,movie_0524,2024-06-15,trending,0.536,2
user_09331,movie_0625,2025-05-27,new_releases,0.638,7
user_05324,movie_0369,2025-08-03,personalized,0.62,16
user_01429,movie_0821,2025-09-20,trending,0.935,14
user_08828,movie_0332,2024-02-07,trending,0.29,8
user_03006,movie_0874,2025-01-07,personalized,0.221,5
user_08903,movie_0388,2025-09-03,new_releases,0.724,3
user_02030,movie_0823,2024-03-28,similar_users,0.236,9
user_05577,movie_0109,2024-09-02,personalized,0.684,20
user_06594,movie_0716,2024-02-19,trending,0.893,9
user_01494,movie_0777,2024-05-19,personalized,0.594,12
user_09785,movie_0215,2024-04-26,similar_users,0.344,20
user_02591,movie_0409,2024-08-25,trending,0.561,4
user_09745,movie_0269,2025-08-01,similar_users,0.211,10
user_00725,movie_0015,2024-08-10,trending,0.523,20
user_03186,movie_0367,2024-01-03,similar_users,0.319,15
user_00545,movie_0376,2025-07-06,personalized,0.265,8
user_02071,movie_0751,2025-06-06,genre_based,0.971,13
user_01023,movie_0305,2025-04-07,genre_based,0.418,3
user_01622,movie_0226,2025-08-23,new_releases,0.934,14
user_01644,movie_0815,2024-06-03,genre_based,0.177,12
user_03012,movie_0532,2025-11-15,trending,0.821,14
user_07385,movie_0043,2025-07-03,personalized,0.386,16
user_02240,movie_0172,2025-09-28,similar_users,0.692,13
user_07110,movie_0958,2024-01-28,genre_based,0.442,8
user_05617,movie_0244,2025-02-04,trending,0.396,10
user_06079,movie_0513,2025-10-24,trending,0.207,1
user_05154,movie_0508,2025-04-22,genre_based,0.325,8
user_01325,movie_0558,2025-12-26,genre_based,0.49,19
user_08103,movie_0354,2025-11-01,new_releases,0.323,19
user_02442,movie_0037,2024-06-06,trending,0.879,11
user_06362,movie_0096,2025-04-04,new_releases,0.891,20
user_08615,movie_0834,2024-05-10,new_releases,,16
user_01791,movie_0605,2024-01-15,similar_users,0.399,1
user_00702,movie_0252,2024-06-08,personalized,0.845,13
user_08809,movie_0893,2025-07-13,personalized,0.709,11
user_07500,movie_0566,2025-09-02,trending,0.783,20
user_00399,movie_0769,2025-06-17,genre_based,0.41,18
user_04549,movie_0587,2025-10-26,new_releases,0.358,4
user_07414,movie_0374,2024-12-19,similar_users,0.689,14
user_06437,movie_0867,2025-06-28,personalized,0.562,7
user_05942,movie_0151,2025-12-20,trending,0.964,19
user_08057,movie_0943,2024-05-25,genre_based,0.37,6
user_02374,movie_0941,2024-12-17,similar_users,0.221,11
user_08523,movie_0423,2024-05-29,new_releases,0.962,6
user_00685,movie_0987,2024-06-10,genre_based,,20
user_05528,movie_0248,2024-02-01,trending,0.591,19
user_09391,movie_0767,2024-06-30,genre_based,0.622,5
user_04964,movie_0315,2024-09-07,similar_users,0.349,9
user_05371,movie_0791,2024-09-18,personalized,,12
user_08839,movie_0999,2024-03-02,new_releases,0.529,4
user_01250,movie_0012,2024-06-18,personalized,0.44,18
user_08346,movie_0087,2024-04-02,trending,0.161,9
user_03354,movie_0251,2024-09-02,new_releases,0.93,17
user_01237,movie_0369,2024-10-12,new_releases,0.289,9
user_04556,movie_0498,2025-12-07,new_releases,0.417,17
user_07463,movie_0163,2025-03-17,personalized,0.612,15
user_00479,movie_0462,2025-11-12,similar_users,0.826,13
user_05771,movie_0112,2024-01-12,genre_based,,7
user_07314,movie_0721,2025-08-18,genre_based,,6
user_03128,movie_0084,2024-07-26,similar_users,0.801,6
user_02887,movie_0671,2025-09-05,personalized,0.806,7
user_04726,movie_0404,2024-01-16,new_releases,0.568,2
user_00332,movie_0326,2025-02-17,personalized,0.202,8
user_06552,movie_0137,2024-06-24,similar_users,,7
user_04006,movie_0572,2025-01-25,similar_users,0.529,1
user_04854,movie_0806,2024-02-10,genre_based,0.221,5
user_08717,movie_0948,2025-10-22,new_releases,0.748,12
user_02347,movie_0435,2025-01-24,personalized,0.235,15
user_06908,movie_0643,2025-06-20,similar_users,0.368,13
user_04044,movie_0110,2025-09-04,similar_users,0.44,13
user_02239,movie_0075,2024-11-30,genre_based,0.668,5
user_09439,movie_0486,2024-03-14,personalized,0.947,16
user_04865,movie_0256,2025-10-15,new_releases,0.989,7
user_06319,movie_0687,2024-05-25,personalized,0.307,17
user_02592,movie_0643,2025-01-16,genre_based,0.374,3
user_03165,movie_0190,2024-12-17,personalized,0.164,8
user_05546,movie_0768,2025-11-25,new_releases,0.586,19
user_03629,movie_0809,2025-01-18,genre_based,0.34,9
user_02855,movie_0281,2024-05-21,genre_based,0.606,10
user_08607,movie_0776,2024-03-20,personalized,,9
user_03143,movie_0068,2025-08-18,similar_users,0.867,17
user_05417,movie_0545,2025-09-24,trending,0.195,5
user_00303,movie_0674,2025-06-17,genre_based,0.947,18
user_03707,movie_0631,2024-04-28,trending,0.73,10
user_00722,movie_0423,2025-07-09,personalized,0.336,19
user_09600,movie_0924,2024-08-16,trending,0.144,18
user_04054,movie_0885,2025-05-14,genre_based,0.504,16
user_09262,movie_0818,2024-03-09,new_releases,,18
user_03757,movie_0637,2025-07-08,genre_based,0.835,13
user_04457,movie_0384,2024-04-25,new_releases,0.827,17
user_08855,movie_0908,2024-08-29,trending,0.785,12
user_05009,movie_0321,2024-10-28,new_releases,0.188,1
user_07598,movie_0404,2025-02-22,trending,0.638,1
user_02010,movie_0117,2025-08-04,similar_users,0.528,9
user_06397,movie_0011,2024-07-24,trending,0.206,1
user_06984,movie_0625,2025-02-12,genre_based,0.483,18
user_04994,movie_0263,2024-02-16,similar_users,0.725,10
user_08191,movie_0957,2025-11-02,trending,0.814,5
user_02613,movie_0512,2025-11-25,genre_based,0.657,9
user_01633,movie_0076,2024-06-14,similar_users,0.435,13
user_05324,movie_0429,2024-10-12,similar_users,0.825,9
user_07495,movie_0044,2025-11-11,personalized,0.718,14
user_09912,movie_0208,2025-04-08,trending,0.779,17
user_00630,movie_0363,2025-04-21,genre_based,,7
user_03615,movie_0851,2024-01-17,trending,0.407,12
user_03232,movie_0149,2024-10-20,similar_users,0.768,4
user_07117,movie_0197,2024-03-03,new_releases,0.275,17
user_06260,movie_0211,2024-11-13,similar_users,0.952,7
user_08217,movie_0666,2024-08-29,genre_based,0.309,2
user_05022,movie_0764,2024-07-21,trending,0.637,3
user_04783,movie_0400,2024-02-07,trending,0.472,7
user_09297,movie_0568,2025-04-07,genre_based,0.949,14
user_03723,movie_0206,2024-05-23,genre_based,0.44,3
user_08926,movie_0985,2024-03-01,trending,0.578,7
user_06648,movie_0626,2024-04-04,similar_users,0.421,17
user_01911,movie_0103,2025-10-14,new_releases,0.688,7
user_02119,movie_0155,2025-06-28,personalized,0.814,1
user_09710,movie_0175,2025-12-13,trending,0.779,13
user_09007,movie_0694,2025-07-24,genre_based,0.177,14
user_05354,movie_0856,2025-07-04,new_releases,0.752,12
user_03893,movie_0936,2024-09-21,new_releases,0.795,14
user_02528,movie_0848,2025-11-03,genre_based,0.116,16
user_09179,movie_0832,2025-10-23,new_releases,0.827,6
user_04947,movie_0278,2025-03-14,similar_users,,18
user_09715,movie_0979,2024-06-16,genre_based,0.488,6
user_07511,movie_0854,2024-01-06,trending,0.61,6
user_05194,movie_0520,2025-08-12,genre_based,0.986,16
user_04462,movie_0403,2024-04-23,personalized,,6
user_02348,movie_0496,2024-09-25,trending,0.489,4
user_04277,movie_0753,2024-07-22,similar_users,0.626,7
user_01580,movie_0590,2025-02-24,personalized,0.96,9
user_06012,movie_0411,2025-09-13,genre_based,,2
user_08795,movie_0687,2025-11-30,similar_users,0.925,20
user_03032,movie_0969,2025-01-05,trending,0.457,1
user_02047,movie_0261,2025-12-28,new_releases,0.977,16
user_07478,movie_0170,2024-01-16,new_releases,0.52,1
user_02760,movie_0870,2024-06-29,genre_based,,18
user_06541,movie_0609,2024-12-14,similar_users,0.368,3
